iter grad
1.000000000000000000e+00 8.767655571957984506e+00
2.000000000000000000e+00 8.949434459478771586e+00
3.000000000000000000e+00 8.949434459478771586e+00
4.000000000000000000e+00 8.949434459478771586e+00
5.000000000000000000e+00 8.949434459478771586e+00
6.000000000000000000e+00 8.949434459478771586e+00
7.000000000000000000e+00 8.126572840390685615e-01
8.000000000000000000e+00 6.537403451021219780e-01
9.000000000000000000e+00 1.997725144590118546e-02
1.000000000000000000e+01 1.739703897452860937e-03
1.100000000000000000e+01 4.428793338748483238e-06
