iter grad
1.000000000000000000e+00 2.553350102404932187e+01
2.000000000000000000e+00 3.920257097573737415e+00
3.000000000000000000e+00 7.018298361836071697e-01
4.000000000000000000e+00 3.977417359410362896e-01
5.000000000000000000e+00 6.180136416246780756e-02
6.000000000000000000e+00 1.006243434485922655e-02
7.000000000000000000e+00 1.630519874256164837e-03
8.000000000000000000e+00 2.613345115835311277e-04
9.000000000000000000e+00 4.382117649560389786e-05
1.000000000000000000e+01 7.343645509440832473e-06
